Hauteur=100.000000, Largeur=200.000000, Population=100, Prop initiale=0.100000, Periode=150

Heure=150: Sains=93, Malades=7, Morts=0, Moy deplacement=0.786, Moy infection=0.028, Moy mort=0.065 
Heure=9000: Sains=62, Malades=13, Morts=25, Moy deplacement=0.201, Moy infection=0.007, Moy mort=0.011 

Heure=9150: Sains=62, Malades=13, Morts=25, Moy deplacement=0.234, Moy infection=0.006, Moy mort=0.011 

Heure=9300: Sains=61, Malades=13, Morts=26, Moy deplacement=0.210, Moy infection=0.006, Moy mort=0.011 

Heure=9450: Sains=62, Malades=12, Morts=26, Moy deplacement=0.250, Moy infection=0.006, Moy mort=0.011 

Heure=9600: Sains=61, Malades=13, Morts=26, Moy deplacement=0.292, Moy infection=0.006, Moy mort=0.011 

Heure=9750: Sains=56, Malades=17, Morts=27, Moy deplacement=0.251, Moy infection=0.008, Moy mort=0.008 

Heure=9900: Sains=58, Malades=15, Morts=27, Moy deplacement=0.205, Moy infection=0.007, Moy mort=0.008 

Heure=10050: Sains=58, Malades=15, Morts=27, Moy deplacement=0.219, Moy infection=0.007, Moy mort=0.008 

Heure=10200: Sains=59, Malades=14, Morts=27, Moy deplacement=0.248, Moy infection=0.006, Moy mort=0.008 

Heure=10350: Sains=64, Malades=9, Morts=27, Moy deplacement=0.203, Moy infection=0.004, Moy mort=0.008 

Heure=10500: Sains=60, Malades=13, Morts=27, Moy deplacement=0.267, Moy infection=0.006, Moy mort=0.008 

Heure=10650: Sains=54, Malades=19, Morts=27, Moy deplacement=0.286, Moy infection=0.009, Moy mort=0.008 

Heure=10800: Sains=51, Malades=22, Morts=27, Moy deplacement=0.263, Moy infection=0.010, Moy mort=0.008 

Heure=10950: Sains=54, Malades=19, Morts=27, Moy deplacement=0.323, Moy infection=0.008, Moy mort=0.008 

Heure=11100: Sains=66, Malades=7, Morts=27, Moy deplacement=0.306, Moy infection=0.003, Moy mort=0.008 

Heure=11250: Sains=67, Malades=6, Morts=27, Moy deplacement=0.248, Moy infection=0.003, Moy mort=0.008 

Heure=11400: Sains=67, Malades=6, Morts=27, Moy deplacement=0.241, Moy infection=0.002, Moy mort=0.008 

Heure=11550: Sains=68, Malades=5, Morts=27, Moy deplacement=0.232, Moy infection=0.002, Moy mort=0.008 

Heure=11700: Sains=70, Malades=3, Morts=27, Moy deplacement=0.222, Moy infection=0.001, Moy mort=0.008 

Heure=11850: Sains=71, Malades=2, Morts=27, Moy deplacement=0.229, Moy infection=0.001, Moy mort=0.008 

Heure=12000: Sains=71, Malades=2, Morts=27, Moy deplacement=0.312, Moy infection=0.001, Moy mort=0.008 

Heure=12150: Sains=70, Malades=3, Morts=27, Moy deplacement=0.284, Moy infection=0.001, Moy mort=0.008 

Heure=12300: Sains=72, Malades=1, Morts=27, Moy deplacement=0.276, Moy infection=0.000, Moy mort=0.008 

Simulation terminee apres 12366 heures.
Statistiques finales :
  Total infections : 436
  Max infections/heure : 2
  Min infections/heure : 0
  Moyenne infections/heure : 0.04
  Total morts : 27
  Max morts/heure : 27
  Min morts/heure : 0
  Moyenne morts/heure : 0.0021834061
